# Time(s) Range(km)  Vel.(km/s)
 626.486 1646.111883 6.457181
 627.523 1653.199618 6.462972
 628.646 1660.293660 6.468681
 629.770 1667.393921 6.474308
 630.806 1674.499790 6.479854
 631.930 1681.612744 6.485322
 633.053 1688.730609 6.490711
 634.090 1695.854345 6.496023
 635.213 1702.984913 6.501261
 636.336 1710.120140 6.506423
 637.459 1717.261515 6.511513
 638.496 1724.408434 6.516530
 639.619 1731.560819 6.521477
 640.742 1738.718067 6.526353
 641.779 1745.881678 6.531161
 642.902 1753.049476 6.535901
 644.026 1760.222436 6.540573
 645.062 1767.401013 6.545181
 646.186 1774.584610 6.549723
 647.309 1781.773155 6.554201
 648.432 1788.966051 6.558617
 649.469 1796.164813 6.562971
 650.592 1803.367262 6.567263
 651.715 1810.574387 6.571495
 652.752 1817.787180 6.575668
 653.875 1825.003461 6.579782
 654.998 1832.224754 6.583839
 656.035 1839.450466 6.587839
 657.158 1846.680537 6.591783
 658.282 1853.914374 6.595672
 659.405 1861.152978 6.599507
 660.442 1868.395760 6.603288
 661.565 1875.642129 6.607016
 662.688 1882.893092 6.610692
 663.725 1890.148059 6.614316
 664.848 1897.406976 6.617890
 665.971 1904.669254 6.621414
 667.008 1911.936436 6.624890
 668.131 1919.206339 6.628316
 669.254 1926.479974 6.631694
 670.378 1933.758357 6.635026
 671.414 1941.039301 6.638310
 672.538 1948.324358 6.641549
 673.661 1955.612944 6.644742
 674.698 1962.905009 6.647891
 675.821 1970.199969 6.650996
 676.944 1977.499382 6.654057
 677.981 1984.801060 6.657075
 679.104 1992.106025 6.660051
 680.227 1999.415304 6.662986
 681.264 2006.726708 6.665879
 682.387 2014.041799 6.668731
 683.510 2021.359462 6.671543
 684.634 2028.681262 6.674316
 685.670 2036.005008 6.677050
 686.794 2043.331732 6.679745
 687.917 2050.662467 6.682402
 688.954 2057.995021 6.685021
 690.077 2065.330966 6.687603
 691.200 2072.669724 6.690149
 692.237 2080.011256 6.692659
 693.360 2087.354983 6.695133
 694.483 2094.701943 6.697571
 695.606 2102.051560 6.699975
 696.643 2109.403256 6.702345
 697.766 2116.758612 6.704681
 698.890 2124.115433 6.706983
 699.926 2131.475302 6.709252
 701.050 2138.837642 6.711489
 702.173 2146.202418 6.713693
 703.210 2153.569055 6.715865
 704.333 2160.938058 6.718006
 705.456 2168.310473 6.720116
 706.579 2175.684106 6.722195
 707.616 2183.060543 6.724244
 708.739 2190.439212 6.726263
 709.862 2197.820080 6.728252
 710.899 2205.202573 6.730212
 712.022 2212.588284 6.732144
 713.146 2219.975015 6.734046
 714.182 2227.363817 6.735921
 715.306 2234.755744 6.737767
 716.429 2242.148599 6.739586
 717.552 2249.543976 6.741378
 718.589 2256.941304 6.743143
 719.712 2264.340555 6.744882
 720.835 2271.741155 6.746594
 721.872 2279.144163 6.748280
 722.995 2286.549006 6.749940
 724.118 2293.955113 6.751575
 725.155 2301.363545 6.753186
 726.278 2308.773729 6.754771
 727.402 2316.185638 6.756331
 728.525 2323.598703 6.757868
 729.562 2331.013984 6.759380
 730.685 2338.430912 6.760869
 731.808 2345.848916 6.762334
 732.845 2353.269603 6.763777
 733.968 2360.690772 6.765196
 735.091 2368.114029 6.766592
 736.128 2375.538807 6.767967
 737.251 2382.965080 6.769319
 738.374 2390.392279 6.770649
 739.498 2397.821470 6.771957
 740.534 2405.252085 6.773244
 741.658 2412.683556 6.774510
 742.781 2420.116948 6.775754
 743.818 2427.551695 6.776978
 744.941 2434.987773 6.778182
 746.064 2442.424615 6.779364
 747.101 2449.863834 6.780527
 748.224 2457.303228 6.781670
 749.347 2464.743864 6.782794
 750.384 2472.186814 6.783897
 751.507 2479.629872 6.784982
 752.630 2487.074655 6.786047
 753.754 2494.520597 6.787094
 754.790 2501.967677 6.788121
 755.914 2509.415328 6.789131
 757.037 2516.864623 6.790122
 758.074 2524.314995 6.791094
 759.197 2531.765877 6.792049
 760.320 2539.218891 6.792986
 761.357 2546.671829 6.793906
 762.480 2554.126314 6.794808
 763.603 2561.581232 6.795692
 764.726 2569.037658 6.796560
 765.763 2576.495027 6.797411
 766.886 2583.952772 6.798245
 768.010 2591.412518 6.799062
 769.046 2598.872058 6.799863
 770.170 2606.333014 6.800648
 771.293 2613.794823 6.801417
 772.330 2621.257466 6.802169
 773.453 2628.720379 6.802906
 774.576 2636.184639 6.803628
 775.699 2643.649682 6.804333
 776.736 2651.114944 6.805024
 777.859 2658.582049 6.805699
 778.982 2666.048792 6.806359
 780.019 2673.516798 6.807004
 781.142 2680.985504 6.807634
 782.266 2688.454894 6.808250
 783.302 2695.924403 6.808851
 784.426 2703.394564 6.809438
 785.549 2710.866457 6.810011
 786.672 2718.337874 6.810569
 787.709 2725.810444 6.811113
 788.832 2733.283604 6.811644
 789.955 2740.757339 6.812161
 790.992 2748.231084 6.812664
 792.115 2755.705923 6.813154
 793.238 2763.181291 6.813630
 794.275 2770.656626 6.814093
 795.398 2778.133559 6.814543
 796.522 2785.609882 6.814980
 797.645 2793.087225 6.815403
 798.682 2800.565025 6.815815
 799.805 2808.042722 6.816213
 800.928 2815.521397 6.816599
 801.965 2823.000489 6.816972
 803.088 2830.479983 6.817333
 804.211 2837.959318 6.817682
 805.248 2845.439577 6.818018
 806.371 2852.920199 6.818342
 807.494 2860.401170 6.818655
 808.618 2867.881929 6.818955
 809.654 2875.363560 6.819244
 810.778 2882.845501 6.819521
 811.901 2890.327191 6.819787
 812.938 2897.810263 6.820041
 814.061 2905.292511 6.820284
 815.184 2912.775567 6.820515
 816.221 2920.258871 6.820735
 817.344 2927.742411 6.820944
 818.467 2935.225624 6.821142
 819.504 2942.709598 6.821329
 820.627 2950.193772 6.821505
 821.750 2957.677583 6.821671
 822.874 2965.162668 6.821826
 823.910 2972.646820 6.821970
 825.034 2980.131672 6.822103
 826.157 2987.616117 6.822227
 827.194 2995.101240 6.822339
 828.317 3002.586481 6.822442
 829.440 3010.071280 6.822534
 830.477 3017.557273 6.822617
 831.600 3025.042252 6.822689
 832.723 3032.527854 6.822751
 833.846 3040.013519 6.822803
 834.883 3047.498687 6.822846
 836.006 3054.984446 6.822879
 837.130 3062.470235 6.822902
